player_key,player_id,player_name,competition,role,seasons,first_season,last_season,bat_innings,runs,balls,fours,sixes,bat_pp_runs,bat_pp_balls,bat_mid_runs,bat_mid_balls,bat_death_runs,bat_death_balls,sample,strike_rate,runs_per_innings,boundary_pct,bat_pp_sr,bat_mid_sr,bat_death_sr,bowl_innings,runs_conceded,balls_bowled,wickets,bowl_pp_runs,bowl_pp_balls,bowl_mid_runs,bowl_mid_balls,bowl_death_runs,bowl_death_balls,wides,noballs,economy,bowling_sr,wickets_per_innings,wide_rate,noball_rate,bowl_pp_economy,bowl_mid_economy,bowl_death_economy,min_sample,impact_raw,impact_reliability,impact_score,impact_percentile,cluster,profile_type
1f0b8f44,1f0b8f44,Prashanth Kumar,SMA,bat,4,2016,2021,19.0,281.0,274.0,22.0,9.0,71.0,102.0,158.0,146.0,52.0,26.0,19.0,102.55474452554745,14.789473684210526,11.313868613138686,69.6078431372549,108.21917808219179,200.0,,,,,,,,,,,,,,,,,,,,,15,-1.0362364927520638,0.6551724137931034,-0.6789135642168694,8.51063829787234,3,Balanced batting group
1f3febed,1f3febed,Dikshanshu Negi,SMA,bat,3,2019,2022,17.0,318.0,282.0,31.0,7.0,39.0,38.0,173.0,173.0,106.0,71.0,17.0,112.7659574468085,18.705882352941178,13.47517730496454,102.63157894736842,100.0,149.29577464788733,,,,,,,,,,,,,,,,,,,,,15,-0.4937834868416575,0.6296296296296297,-0.31090071393734003,24.25531914893617,3,Balanced batting group
239f7526,239f7526,Parth Sahani,SMA,bat,6,2016,2023,34.0,743.0,598.0,51.0,30.0,38.0,66.0,474.0,384.0,231.0,148.0,34.0,124.24749163879598,21.852941176470587,13.54515050167224,57.57575757575758,123.4375,156.08108108108107,,,,,,,,,,,,,,,,,,,,,15,-0.07319122458971922,0.7727272727272727,-0.05655685536478309,44.25531914893617,3,Balanced batting group
2461eef2,2461eef2,PA Reddy,SMA,bat,3,2016,2019,20.0,532.0,393.0,47.0,20.0,296.0,234.0,198.0,138.0,38.0,21.0,20.0,135.36895674300254,26.6,17.048346055979643,126.49572649572649,143.47826086956522,180.95238095238096,,,,,,,,,,,,,,,,,,,,,15,0.6025128240852065,0.6666666666666666,0.40167521605680423,76.17021276595744,2,Run accumulators
26989d80,26989d80,Shashank Singh,SMA,bat,6,2016,2023,24.0,366.0,297.0,29.0,13.0,65.0,54.0,161.0,164.0,140.0,79.0,24.0,123.23232323232322,15.25,14.14141414141414,120.37037037037037,98.17073170731707,177.2151898734177,,,,,,,,,,,,,,,,,,,,,15,-0.43428213440093133,0.7058823529411765,-0.30655209487124574,25.106382978723403,3,Balanced batting group
26a85969,26a85969,R Dhawan,SMA,bat,4,2018,2022,25.0,413.0,315.0,39.0,13.0,7.0,9.0,174.0,162.0,232.0,144.0,25.0,131.11111111111111,16.52,16.507936507936506,77.77777777777779,107.40740740740742,161.11111111111111,,,,,,,,,,,,,,,,,,,,,15,-0.0786355918761483,0.7142857142857143,-0.05616827991153457,45.1063829787234,3,Balanced batting group
26d76ad9,26d76ad9,Virat Singh,SMA,bat,4,2016,2021,36.0,1236.0,948.0,112.0,40.0,333.0,292.0,605.0,503.0,298.0,153.0,36.0,130.37974683544306,34.333333333333336,16.033755274261605,114.04109589041096,120.27833001988071,194.77124183006535,,,,,,,,,,,,,,,,,,,,,15,0.8799142380915306,0.782608695652174,0.6886285341585892,86.38297872340426,2,Run accumulators
26e5cabf,26e5cabf,MK Tiwary,SMA,bat,4,2016,2021,27.0,506.0,442.0,31.0,18.0,53.0,68.0,336.0,285.0,117.0,89.0,27.0,114.47963800904976,18.74074074074074,11.085972850678733,77.94117647058823,117.89473684210525,131.46067415730337,,,,,,,,,,,,,,,,,,,,,15,-0.5763128898100615,0.7297297297297297,-0.42055264932085573,17.872340425531917,3,Balanced batting group
271f83cd,271f83cd,SA Yadav,SMA,bat,5,2016,2024,40.0,1124.0,726.0,117.0,44.0,122.0,117.0,648.0,400.0,354.0,209.0,40.0,154.82093663911846,28.1,22.176308539944902,104.27350427350429,162.0,169.377990430622,,,,,,,,,,,,,,,,,,,,,15,1.3529345535889585,0.8,1.082347642871167,98.72340425531915,2,Run accumulators
2728e7e9,2728e7e9,P Dogra,SMA,bat,5,2016,2022,31.0,943.0,722.0,59.0,52.0,133.0,126.0,647.0,508.0,163.0,88.0,31.0,130.6094182825485,30.419354838709676,15.373961218836566,105.55555555555556,127.36220472440945,185.22727272727272,,,,,,,,,,,,,,,,,,,,,15,0.6322401626615258,0.7560975609756098,0.4780352449392024,78.29787234042553,2,Run accumulators
28c78fb3,28c78fb3,Harpreet Singh,SMA,bat,7,2016,2024,34.0,1181.0,899.0,102.0,42.0,222.0,230.0,691.0,548.0,268.0,121.0,34.0,131.36818687430477,34.73529411764706,16.017797552836484,96.52173913043478,126.09489051094891,221.48760330578514,,,,,,,,,,,,,,,,,,,,,15,0.9223544717567459,0.7727272727272727,0.7127284554483945,87.2340425531915,2,Run accumulators
297b26da,297b26da,Yashpal Singh,SMA,bat,3,2016,2019,20.0,547.0,463.0,57.0,10.0,78.0,70.0,307.0,284.0,162.0,109.0,20.0,118.1425485961123,27.35,14.47084233261339,111.42857142857143,108.09859154929578,148.62385321100916,,,,,,,,,,,,,,,,,,,,,15,0.1533439388977878,0.6666666666666666,0.10222929259852512,57.446808510638306,3,Balanced batting group
29e95537,29e95537,AM Rahane,SMA,bat,5,2019,2024,20.0,682.0,489.0,73.0,19.0,314.0,232.0,310.0,215.0,58.0,42.0,20.0,139.46830265848672,34.1,18.813905930470348,135.3448275862069,144.1860465116279,138.0952380952381,,,,,,,,,,,,,,,,,,,,,15,1.19757242576313,0.6666666666666666,0.7983816171754198,91.06382978723404,2,Run accumulators
2bbab579,2bbab579,Arpit Vasavada,SMA,bat,4,2016,2021,20.0,395.0,318.0,36.0,10.0,84.0,67.0,205.0,181.0,106.0,70.0,20.0,124.21383647798743,19.75,14.465408805031446,125.37313432835822,113.2596685082873,151.42857142857142,,,,,,,,,,,,,,,,,,,,,15,-0.14530726984869347,0.6666666666666666,-0.09687151323246239,40.85106382978723,3,Balanced batting group
2c25d4f5,2c25d4f5,D Padikkal,SMA,bat,3,2019,2023,24.0,780.0,553.0,82.0,35.0,392.0,293.0,350.0,239.0,38.0,21.0,24.0,141.0488245931284,32.5,21.15732368896926,133.78839590443684,146.44351464435147,180.95238095238096,,,,,,,,,,,,,,,,,,,,,15,1.2592101173087693,0.7058823529411765,0.8888542004532489,94.8936170212766,2,Run accumulators
2e171977,2e171977,AR Patel,SMA,bat,3,2018,2021,18.0,484.0,378.0,39.0,15.0,28.0,26.0,327.0,269.0,129.0,83.0,18.0,128.04232804232805,26.88888888888889,14.285714285714285,107.6923076923077,121.56133828996283,155.42168674698794,,,,,,,,,,,,,,,,,,,,,15,0.3258001449670834,0.6428571428571429,0.20944295033598215,64.25531914893618,3,Balanced batting group
2e802011,2e802011,Vishnu Solanki,SMA,bat,6,2018,2024,39.0,834.0,703.0,66.0,28.0,150.0,181.0,399.0,368.0,285.0,154.0,39.0,118.63442389758178,21.384615384615383,13.371266002844951,82.87292817679558,108.42391304347827,185.06493506493507,,,,,,,,,,,,,,,,,,,,,15,-0.22590367222489052,0.7959183673469388,-0.17980088197491292,34.04255319148936,3,Balanced batting group
2f48362d,2f48362d,Amit Sinha,SMA,bat,4,2016,2021,18.0,318.0,303.0,18.0,13.0,13.0,29.0,170.0,187.0,135.0,87.0,18.0,104.95049504950495,17.666666666666668,10.231023102310232,44.827586206896555,90.9090909090909,155.17241379310346,,,,,,,,,,,,,,,,,,,,,15,-0.8794093813994,0.6428571428571429,-0.5653346023281859,12.340425531914894,3,Balanced batting group
2fcb040c,2fcb040c,Rajat Paliwal,SMA,bat,4,2016,2021,27.0,521.0,446.0,42.0,3.0,42.0,40.0,373.0,331.0,106.0,75.0,27.0,116.81614349775784,19.296296296296298,10.089686098654708,105.0,112.68882175226587,141.33333333333334,,,,,,,,,,,,,,,,,,,,,15,-0.5464085958923535,0.7297297297297297,-0.3987305970025283,20.0,3,Balanced batting group
310bddc0,310bddc0,Punit Bisht,SMA,bat,2,2019,2021,20.0,487.0,305.0,52.0,23.0,143.0,109.0,208.0,143.0,136.0,53.0,20.0,159.67213114754097,24.35,24.59016393442623,131.1926605504587,145.45454545454547,256.60377358490564,,,,,,,,,,,,,,,,,,,,,15,1.3662850373166724,0.6666666666666666,0.9108566915444481,95.31914893617022,2,Run accumulators
31ee319e,31ee319e,Ajay Mandal,SMA,bat,5,2018,2023,20.0,217.0,188.0,17.0,8.0,3.0,4.0,50.0,83.0,164.0,101.0,20.0,115.42553191489363,10.85,13.297872340425531,75.0,60.24096385542169,162.3762376237624,,,,,,,,,,,,,,,,,,,,,15,-0.8869797688826109,0.6666666666666666,-0.5913198459217407,11.48936170212766,3,Balanced batting group
33ffc3dd,33ffc3dd,R Sanjay Yadav,SMA,bat,4,2018,2023,23.0,483.0,392.0,26.0,26.0,17.0,21.0,289.0,245.0,177.0,126.0,23.0,123.21428571428572,21.0,13.26530612244898,80.95238095238095,117.95918367346938,140.47619047619045,,,,,,,,,,,,,,,,,,,,,15,-0.1567403062041685,0.696969696969697,-0.10924324371805692,40.0,3,Balanced batting group
34819e70,34819e70,Samarth Vyas,SMA,bat,4,2019,2023,22.0,512.0,352.0,45.0,30.0,162.0,117.0,270.0,191.0,80.0,44.0,22.0,145.45454545454547,23.272727272727273,21.306818181818183,138.46153846153845,141.36125654450262,181.8181818181818,,,,,,,,,,,,,,,,,,,,,15,0.8422885029985366,0.6875,0.5790733458114938,82.12765957446808,2,Run accumulators
35eb75af,35eb75af,Chirag Gandhi,SMA,bat,6,2016,2023,35.0,735.0,615.0,53.0,22.0,59.0,75.0,349.0,333.0,327.0,207.0,35.0,119.51219512195121,21.0,12.195121951219512,78.66666666666666,104.8048048048048,157.97101449275362,,,,,,,,,,,,,,,,,,,,,15,-0.28831901798699167,0.7777777777777778,-0.22424812510099357,31.48936170212766,3,Balanced batting group
