player_key,player_id,player_name,competition,role,seasons,first_season,last_season,bat_innings,runs,balls,fours,sixes,bat_pp_runs,bat_pp_balls,bat_mid_runs,bat_mid_balls,bat_death_runs,bat_death_balls,sample,strike_rate,runs_per_innings,boundary_pct,bat_pp_sr,bat_mid_sr,bat_death_sr,bowl_innings,runs_conceded,balls_bowled,wickets,bowl_pp_runs,bowl_pp_balls,bowl_mid_runs,bowl_mid_balls,bowl_death_runs,bowl_death_balls,wides,noballs,economy,bowling_sr,wickets_per_innings,wide_rate,noball_rate,bowl_pp_economy,bowl_mid_economy,bowl_death_economy,min_sample,impact_raw,impact_reliability,impact_score,impact_percentile,cluster,profile_type,domestic_player_key,closest_ipl_player,closest_ipl_profile_type,closest_ipl_impact_percentile,similarity_score,distance,sample_percentile,similarity_percentile,scouting_score,scouting_reason
0c0ef3fb,0c0ef3fb,Baltej Singh,SMA,bowl,6,2016,2023,,,,,,,,,,,,27.0,,,,,,,27.0,757.0,597.0,36.0,295.0,234.0,195.0,180.0,267.0,183.0,11.0,2.0,7.608040201005025,16.583333333333332,1.3333333333333333,0.11055276381909548,0.020100502512562814,7.564102564102564,6.5,8.754098360655739,15,0.43209146823657996,0.7297297297297297,0.31530999033480156,72.636815920398,0,High-impact strike/control bowlers,0c0ef3fb,Azhar Mahmood,High-impact strike/control bowlers,88.41059602649007,55.42926501250367,0.8041011364203029,79.50819672131148,62.295081967213115,71.08208955223881,"High-impact strike/control bowlers; economy 7.61, bowling SR 16.6, WPI 1.33; closest IPL comp: Azhar Mahmood"
a457cfb5,a457cfb5,Mayank Dagar,SMA,bowl,4,2018,2022,,,,,,,,,,,,30.0,,,,,,,30.0,605.0,641.0,31.0,48.0,54.0,447.0,484.0,110.0,103.0,5.0,0.0,5.663026521060843,20.677419354838708,1.0333333333333334,0.046801872074883,0.0,5.333333333333333,5.541322314049586,6.407766990291262,15,0.8734284929936508,0.75,0.655071369745238,89.55223880597015,0,High-impact strike/control bowlers,a457cfb5,A Chandila,High-impact strike/control bowlers,86.42384105960265,41.79458832099058,1.392654264996715,86.88524590163934,17.21311475409836,71.06740885735258,"High-impact strike/control bowlers; economy 5.66, bowling SR 20.7, WPI 1.03; closest IPL comp: A Chandila"
7c30f4d0,7c30f4d0,Rahil Shah,SMA,bowl,4,2016,2021,,,,,,,,,,,,18.0,,,,,,,18.0,361.0,361.0,18.0,77.0,90.0,227.0,222.0,57.0,49.0,8.0,0.0,6.0,20.055555555555557,1.0,0.1329639889196676,0.0,5.133333333333333,6.135135135135135,6.979591836734693,15,0.6955260868176409,0.6428571428571429,0.44712391295419784,81.09452736318407,0,High-impact strike/control bowlers,7c30f4d0,A Kumble,High-impact strike/control bowlers,97.68211920529801,56.04722812891056,0.7842095557338989,33.19672131147541,67.21311475409836,70.43950330315634,"High-impact strike/control bowlers; economy 6.00, bowling SR 20.1, WPI 1.00; closest IPL comp: A Kumble"
4948a916,4948a916,Ashutosh Aman,SMA,bowl,3,2019,2022,,,,,,,,,,,,23.0,,,,,,,23.0,477.0,474.0,27.0,67.0,60.0,350.0,354.0,60.0,60.0,6.0,1.0,6.037974683544304,17.555555555555557,1.173913043478261,0.0759493670886076,0.012658227848101264,6.7,5.932203389830509,6.0,15,0.9791917867718232,0.696969696969697,0.6824670029015738,92.03980099502488,0,High-impact strike/control bowlers,4948a916,SP Narine,High-impact strike/control bowlers,98.01324503311258,43.824352546957165,1.2818363350114856,61.47540983606557,23.770491803278688,70.38781502324443,"High-impact strike/control bowlers; economy 6.04, bowling SR 17.6, WPI 1.17; closest IPL comp: SP Narine"
cb4f31e2,cb4f31e2,Bandaru Ayyappa,SMA,bowl,4,2016,2022,,,,,,,,,,,,23.0,,,,,,,23.0,657.0,513.0,29.0,310.0,264.0,89.0,70.0,258.0,179.0,14.0,1.0,7.684210526315789,17.689655172413794,1.2608695652173914,0.16374269005847952,0.011695906432748537,7.045454545454546,7.628571428571428,8.648044692737429,15,0.2661265386520026,0.696969696969697,0.18548213299988064,61.19402985074627,0,High-impact strike/control bowlers,cb4f31e2,A Nehra,High-impact strike/control bowlers,93.37748344370861,65.95224862867379,0.5162485294932524,61.47540983606557,95.90163934426229,69.91313922192317,"High-impact strike/control bowlers; economy 7.68, bowling SR 17.7, WPI 1.26; closest IPL comp: A Nehra"
48bf9d5c,48bf9d5c,Cheepurapalli Stephen,SMA,bowl,4,2016,2023,,,,,,,,,,,,22.0,,,,,,,22.0,504.0,487.0,42.0,247.0,252.0,23.0,48.0,234.0,187.0,17.0,3.0,6.209445585215606,11.595238095238095,1.9090909090909092,0.20944558521560575,0.03696098562628337,5.8809523809523805,2.875,7.508021390374331,15,1.983451143965656,0.6875,1.3636226614763884,100.0,0,High-impact strike/control bowlers,48bf9d5c,Sohail Tanvir,High-impact strike/control bowlers,100.0,30.618865284828306,2.2659603505800114,58.19672131147541,2.459016393442623,69.34426229508196,"High-impact strike/control bowlers; economy 6.21, bowling SR 11.6, WPI 1.91; closest IPL comp: Sohail Tanvir"
fdf7491e,fdf7491e,IC Porel,SMA,bowl,3,2019,2023,,,,,,,,,,,,21.0,,,,,,,21.0,495.0,456.0,26.0,258.0,270.0,44.0,36.0,193.0,150.0,13.0,2.0,6.5131578947368425,17.53846153846154,1.2380952380952381,0.17105263157894735,0.02631578947368421,5.733333333333333,7.333333333333334,7.72,15,0.8204873450236043,0.6774193548387096,0.5558140079192158,86.56716417910447,0,High-impact strike/control bowlers,fdf7491e,A Kumble,High-impact strike/control bowlers,97.68211920529801,49.33696511768376,1.0268778138555827,54.50819672131148,36.885245901639344,69.33783949106923,"High-impact strike/control bowlers; economy 6.51, bowling SR 17.5, WPI 1.24; closest IPL comp: A Kumble"
31ee319e,31ee319e,Ajay Mandal,SMA,bowl,5,2018,2023,,,,,,,,,,,,26.0,,,,,,,26.0,589.0,504.0,26.0,108.0,96.0,377.0,342.0,104.0,66.0,11.0,0.0,7.011904761904763,19.384615384615383,1.0,0.13095238095238093,0.0,6.75,6.614035087719298,9.454545454545453,15,0.22689933959538647,0.7222222222222222,0.1638717452633347,60.19900497512438,0,High-impact strike/control bowlers,31ee319e,A Mishra,High-impact strike/control bowlers,95.36423841059603,60.76127506905989,0.6457850808157378,75.81967213114754,85.24590163934425,68.80382921458282,"High-impact strike/control bowlers; economy 7.01, bowling SR 19.4, WPI 1.00; closest IPL comp: A Mishra"
5f39537c,5f39537c,Ravi Teja,SMA,bowl,5,2018,2023,,,,,,,,,,,,20.0,,,,,,,20.0,522.0,413.0,28.0,127.0,108.0,255.0,204.0,140.0,101.0,12.0,1.0,7.583535108958838,14.75,1.4,0.17433414043583537,0.014527845036319613,7.055555555555555,7.5,8.316831683168317,15,0.5959714116316148,0.6666666666666666,0.3973142744210766,79.60199004975125,0,High-impact strike/control bowlers,5f39537c,A Nehra,High-impact strike/control bowlers,93.37748344370861,52.88223447101781,0.8909942251930588,47.13114754098361,53.278688524590166,68.15053829214582,"High-impact strike/control bowlers; economy 7.58, bowling SR 14.8, WPI 1.40; closest IPL comp: A Nehra"
8998a68f,8998a68f,Sumit Kumar,SMA,bowl,4,2019,2023,,,,,,,,,,,,30.0,,,,,,,30.0,623.0,506.0,36.0,140.0,144.0,288.0,252.0,195.0,110.0,6.0,3.0,7.387351778656127,14.055555555555555,1.2,0.07114624505928853,0.035573122529644265,5.833333333333333,6.857142857142857,10.636363636363637,15,0.4913456371181801,0.75,0.36850922783863505,76.61691542288557,0,High-impact strike/control bowlers,8998a68f,MM Patel,High-impact strike/control bowlers,96.35761589403974,48.903740623927916,1.0448333547530597,86.88524590163934,36.0655737704918,68.01932958160019,"High-impact strike/control bowlers; economy 7.39, bowling SR 14.1, WPI 1.20; closest IPL comp: MM Patel"
077da288,077da288,CP Singh,SMA,bowl,4,2016,2021,,,,,,,,,,,,20.0,,,,,,,20.0,431.0,384.0,21.0,0.0,0.0,408.0,366.0,23.0,18.0,11.0,0.0,6.734375,18.285714285714285,1.05,0.171875,0.0,,6.688524590163934,7.666666666666666,15,0.46553730080907413,0.6666666666666666,0.3103582005393828,72.13930348258707,0,High-impact strike/control bowlers,077da288,SP Narine,High-impact strike/control bowlers,98.01324503311258,56.24267720883508,0.7780092442735128,47.13114754098361,68.85245901639344,67.56636897479814,"High-impact strike/control bowlers; economy 6.73, bowling SR 18.3, WPI 1.05; closest IPL comp: SP Narine"
911d04ad,911d04ad,Gurinder Singh,SMA,bowl,4,2016,2021,,,,,,,,,,,,28.0,,,,,,,28.0,722.0,612.0,29.0,49.0,36.0,525.0,468.0,148.0,108.0,19.0,0.0,7.078431372549019,21.103448275862068,1.0357142857142858,0.18627450980392157,0.0,8.166666666666668,6.730769230769231,8.222222222222223,15,0.16454819338953725,0.7368421052631579,0.12124603723439589,57.2139303482587,0,High-impact strike/control bowlers,911d04ad,PP Ojha,High-impact strike/control bowlers,88.0794701986755,59.45371870836908,0.6819805753533692,81.9672131147541,82.78688524590164,67.32016148764373,"High-impact strike/control bowlers; economy 7.08, bowling SR 21.1, WPI 1.04; closest IPL comp: PP Ojha"
8254ea06,8254ea06,HP Patel,SMA,bowl,4,2016,2022,,,,,,,,,,,,26.0,,,,,,,26.0,603.0,547.0,30.0,104.0,114.0,453.0,391.0,46.0,42.0,26.0,0.0,6.614259597806216,18.233333333333334,1.1538461538461537,0.28519195612431447,0.0,5.473684210526315,6.951406649616368,6.571428571428572,15,0.6457009548062711,0.7222222222222222,0.4663395784711958,82.58706467661692,0,High-impact strike/control bowlers,8254ea06,DW Steyn,High-impact strike/control bowlers,95.03311258278146,45.17338265188195,1.2136929786867299,75.81967213114754,25.40983606557377,67.27764864203571,"High-impact strike/control bowlers; economy 6.61, bowling SR 18.2, WPI 1.15; closest IPL comp: DW Steyn"
