domestic_player_key,domestic_player_name,role,domestic_sample,domestic_impact_score,domestic_impact_percentile,domestic_profile_type,match_rank,ipl_player_key,ipl_player_name,ipl_sample,ipl_impact_score,ipl_impact_percentile,ipl_profile_type,distance,similarity_score
983f2f61,Swapnil Singh,bat,29.0,-0.20338520728964518,33.191489361702125,Balanced batting group,2,c3a96caf,Mandeep Singh,97.0,-0.02320848073069168,45.14285714285714,Balanced batting group,0.5098494345893567,66.23176967788025
983f2f61,Swapnil Singh,bat,29.0,-0.20338520728964518,33.191489361702125,Balanced batting group,3,b61a3e1a,LRPL Taylor,54.0,-0.02096401233847233,45.42857142857143,Balanced batting group,0.5439888630868053,64.76730654654848
9889da93,Samarth Singh,bat,25.0,-0.05818686599330558,43.40425531914894,Balanced batting group,1,72861603,GC Smith,29.0,0.09563256287185937,53.142857142857146,Balanced batting group,0.3789809667144239,72.51731707237495
9889da93,Samarth Singh,bat,25.0,-0.05818686599330558,43.40425531914894,Balanced batting group,2,0184dc35,R Dravid,82.0,0.2308002934544471,60.285714285714285,Balanced batting group,0.4100354714288533,70.92020167312913
9889da93,Samarth Singh,bat,25.0,-0.05818686599330558,43.40425531914894,Balanced batting group,3,e1d1b294,HH Gibbs,36.0,0.02505596081219146,48.285714285714285,Balanced batting group,0.4457714612526003,69.16722502833271
9a2d95ac,Aditya Kaushik,bat,24.0,-0.23260769985058452,30.638297872340424,Balanced batting group,1,8291f939,AL Menaria,23.0,-0.22073864392921058,32.857142857142854,Balanced batting group,0.7855803167339115,56.0042015824383
9a2d95ac,Aditya Kaushik,bat,24.0,-0.23260769985058452,30.638297872340424,Balanced batting group,2,709b0bac,SS Tiwary,73.0,-0.029835480733073863,44.57142857142857,Balanced batting group,0.9091935652668456,52.37813588902555
9a2d95ac,Aditya Kaushik,bat,24.0,-0.23260769985058452,30.638297872340424,Balanced batting group,3,c15e2193,FY Fazal,11.0,-0.20929424255586931,33.42857142857143,Balanced batting group,0.9162967217914086,52.183985320664306
9c20688d,Shashank Chandrakar,bat,27.0,0.366079197800191,72.3404255319149,Run accumulators,1,2498e163,JR Hopes,19.0,0.33582465132826783,66.57142857142857,Run accumulators,0.5779973240784635,63.37146361030689
9c20688d,Shashank Chandrakar,bat,27.0,0.366079197800191,72.3404255319149,Run accumulators,2,77255a9e,RA Tripathi,98.0,0.5186087954675755,76.28571428571429,Run accumulators,0.709690599211608,58.49011513902757
9c20688d,Shashank Chandrakar,bat,27.0,0.366079197800191,72.3404255319149,Run accumulators,3,fdedb37c,SM Katich,11.0,0.18990756170410064,57.99999999999999,Balanced batting group,0.7409109928991323,57.441190507660814
9c86350f,H Desai,bat,21.0,-0.09357717180804119,41.27659574468085,Balanced batting group,1,4ae1755b,HC Brook,11.0,0.023191046385024085,47.714285714285715,Balanced batting group,0.7584427975008752,56.868497594645376
9c86350f,H Desai,bat,21.0,-0.09357717180804119,41.27659574468085,Balanced batting group,2,ae091d39,SA Asnodkar,19.0,0.2286076879234596,60.0,Run accumulators,0.7850686870731425,56.02025329566634
9c86350f,H Desai,bat,21.0,-0.09357717180804119,41.27659574468085,Balanced batting group,3,91ffa6c6,JD Ryder,29.0,0.2859478878253864,63.42857142857142,Run accumulators,0.8392179677906898,54.37093468596452
9d3940b3,Himanshu Rana,bat,32.0,0.19951311591373638,63.40425531914894,Run accumulators,1,740742ef,RG Sharma,273.0,0.5873607748540715,78.85714285714286,Run accumulators,0.6818416387117578,59.458630169602124
9d3940b3,Himanshu Rana,bat,32.0,0.19951311591373638,63.40425531914894,Run accumulators,2,4b57e452,M Vijay,105.0,0.260224481406207,61.42857142857143,Run accumulators,0.6886105720106507,59.22028539767384
9d3940b3,Himanshu Rana,bat,32.0,0.19951311591373638,63.40425531914894,Run accumulators,3,1c914163,Yuvraj Singh,126.0,0.3038428012124282,64.57142857142857,Run accumulators,0.6989119906503252,58.86120090406865
9e62632a,Karanveer Kaushal,bat,16.0,0.22571703564422751,65.53191489361701,Run accumulators,1,ae091d39,SA Asnodkar,19.0,0.2286076879234596,60.0,Run accumulators,0.4797930481585185,67.57701701899589
9e62632a,Karanveer Kaushal,bat,16.0,0.22571703564422751,65.53191489361701,Run accumulators,2,1c17e270,RV Uthappa,197.0,0.45912938502615525,74.0,Run accumulators,0.5978002413726846,62.58604637216045
9e62632a,Karanveer Kaushal,bat,16.0,0.22571703564422751,65.53191489361701,Run accumulators,3,d18f9182,DPMD Jayawardene,78.0,0.22857769415303386,59.71428571428572,Balanced batting group,0.5984872032303795,62.559149549593016
9ed95736,Naushad Shaikh,bat,32.0,-0.11778989944931088,39.148936170212764,Balanced batting group,1,7ca5e05d,RS Bopara,22.0,0.03522605822775987,48.57142857142857,Balanced batting group,0.48574058960572614,67.30650067690296
9ed95736,Naushad Shaikh,bat,32.0,-0.11778989944931088,39.148936170212764,Balanced batting group,2,b57f8a9a,BJ Hodge,63.0,0.15852395192619317,56.85714285714286,Balanced batting group,0.5600956378124842,64.09863445308827
9ed95736,Naushad Shaikh,bat,32.0,-0.11778989944931088,39.148936170212764,Balanced batting group,3,709b0bac,SS Tiwary,73.0,-0.029835480733073863,44.57142857142857,Balanced batting group,0.6123931867934123,62.0196121014821
a1765140,Mrunal Devdhar,bat,34.0,0.0911400089364014,56.59574468085107,Balanced batting group,1,fdedb37c,SM Katich,11.0,0.18990756170410064,57.99999999999999,Balanced batting group,0.8470291973353866,54.14099579165549
