player_key,player_name,player_id,competition,season,bat_innings,runs,balls,fours,sixes,bat_pp_runs,bat_pp_balls,bat_mid_runs,bat_mid_balls,bat_death_runs,bat_death_balls,strike_rate,runs_per_innings,boundary_pct,bat_pp_sr,bat_mid_sr,bat_death_sr,role,bowl_innings,runs_conceded,balls_bowled,wickets,bowl_pp_runs,bowl_pp_balls,bowl_mid_runs,bowl_mid_balls,bowl_death_runs,bowl_death_balls,wides,noballs,economy,bowling_sr,wickets_per_innings,bowl_pp_economy,bowl_mid_economy,bowl_death_economy,wide_rate,noball_rate,caf_strike_rate,caf_runs_per_innings,caf_boundary_pct,caf_bat_pp_sr,caf_bat_mid_sr,caf_bat_death_sr,caf_economy,caf_bowling_sr,caf_wickets_per_innings,caf_bowl_pp_economy,caf_bowl_mid_economy,caf_bowl_death_economy,shrunk_strike_rate,shrunk_runs_per_innings,shrunk_boundary_pct,shrunk_bat_pp_sr,shrunk_bat_mid_sr,shrunk_bat_death_sr,shrunk_economy,shrunk_bowling_sr,shrunk_wickets_per_innings,shrunk_bowl_pp_economy,shrunk_bowl_mid_economy,shrunk_bowl_death_economy,impact_raw,impact_reliability,impact_score,impact_percentile
ce820073,Sandeep Sharma,ce820073,SMA,2024,,,,,,,,,,,,,,,,,,bowl,1.0,39.0,24.0,0.0,11.0,12.0,0.0,0.0,28.0,12.0,1.0,0.0,9.75,,0.0,5.5,,14.0,0.25,0.0,,,,,,,11.872673434856177,,0.0,6.757626859424303,,16.85185185185185,,,,,,,11.11152889422535,,0.6096798913122116,10.664677640967692,,13.139963573373201,-0.6912752107407012,0.09090909090909091,-0.0628432009764273,29.013254786450666
cedc1d9a,P Suyal,cedc1d9a,IPL,2013,,,,,,,,,,,,,,,,,,bowl,1.0,21.0,18.0,1.0,21.0,18.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,18.0,1.0,7.0,,,0.3333333333333333,0.0,,,,,,,8.523970671178793,20.778434268833088,0.8356867779204107,8.600616002903658,,,,,,,,,10.95206685785976,28.354989060153745,0.649474499784612,10.752439028752423,,,0.5956104259072703,0.09090909090909091,0.054146402355206305,54.52478399272397
cedc1d9a,P Suyal,cedc1d9a,IPL,2014,,,,,,,,,,,,,,,,,,bowl,1.0,35.0,18.0,1.0,34.0,12.0,1.0,6.0,0.0,0.0,3.0,0.0,11.666666666666666,18.0,1.0,17.0,1.0,,1.0,0.0,,,,,,,14.206617785297988,20.778434268833088,0.8356867779204107,20.887210292766028,1.2185978084415583,,,,,,,,11.222669101389247,28.354989060153745,0.649474499784612,11.337514947317299,9.99625122876389,,-0.11629279292819406,0.09090909090909091,-0.010572072084381372,41.24602091859936
cedc1d9a,P Suyal,cedc1d9a,IPL,2015,,,,,,,,,,,,,,,,,,bowl,3.0,95.0,60.0,0.0,36.0,30.0,17.0,6.0,42.0,24.0,3.0,4.0,9.5,,0.0,7.199999999999999,17.0,10.5,0.30000000000000004,0.4,,,,,,,11.568245910885505,,0.0,8.846347888700905,20.71616274350649,12.63888888888889,,,,,,,11.138007438110117,,0.5566642485894105,10.597375968130432,11.776137662005201,12.913219558941394,-0.5647117840755381,0.23076923076923078,-0.13031810401743196,18.053660754888586
cedc1d9a,P Suyal,cedc1d9a,SMA,2019,,,,,,,,,,,,,,,,,,bowl,5.0,129.0,114.0,3.0,62.0,78.0,16.0,12.0,51.0,24.0,4.0,0.0,6.789473684210526,38.0,0.6,4.769230769230769,8.0,12.75,0.21052631578947367,0.0,,,,,,,8.267610650992964,43.865583456425405,0.5014120667522464,5.859760353626668,9.748782467532466,15.347222222222223,,,,,,,10.51229946395364,31.760170131060903,0.612413522052707,9.859976214761224,10.297863613330499,13.432939772003861,-0.14196767212807548,0.3333333333333333,-0.047322557376025094,34.06971035837015
cedc1d9a,P Suyal,cedc1d9a,SMA,2021,,,,,,,,,,,,,,,,,,bowl,2.0,54.0,36.0,2.0,16.0,18.0,21.0,12.0,17.0,6.0,2.0,1.0,9.0,18.0,1.0,5.333333333333333,10.5,17.0,0.3333333333333333,0.16666666666666666,,,,,,,10.959390862944163,20.778434268833088,0.8356867779204107,6.552850287926597,12.795276988636362,20.462962962962962,,,,,,,11.063100684989296,28.01060020600281,0.6579386942453301,10.468468371670475,10.649692362403313,13.636968596132332,0.034741993908472435,0.16666666666666666,0.005790332318078815,51.00638193421698
cede9920,Parmesh Vaidik,cede9920,SMA,2021,,,,,,,,,,,,,,,,,,bowl,2.0,69.0,42.0,2.0,35.0,24.0,34.0,18.0,0.0,0.0,0.0,0.0,9.857142857142858,21.0,1.0,8.75,11.333333333333332,,0.0,0.0,,,,,,,12.00314237370075,24.241506646971935,0.8356867779204107,10.750770003629572,13.81077516233766,,,,,,,,11.157987185967167,28.32542496765179,0.6579386942453301,10.85009743673438,10.742010378194339,,-0.14782351401543325,0.16666666666666666,-0.024637252335905465,41.28620520373097
cee8a83d,Arnab Nandi,cee8a83d,SMA,2019,,,,,,,,,,,,,,,,,,bowl,6.0,119.0,120.0,6.0,5.0,6.0,75.0,90.0,39.0,24.0,1.0,0.0,5.95,20.0,1.0,5.0,5.0,9.75,0.05,0.0,,,,,,,7.245375070501974,23.08714918759232,0.8356867779204107,6.143297144931185,6.092989042207791,11.73611111111111,,,,,,,10.190064760264923,27.430739658459593,0.6852845532722657,9.77155332578786,9.433100471109496,12.67323268675585,0.48261962714807743,0.375,0.1809823601805291,83.75061364752086
cee8a83d,Arnab Nandi,cee8a83d,SMA,2021,,,,,,,,,,,,,,,,,,bowl,3.0,74.0,66.0,2.0,22.0,24.0,48.0,36.0,4.0,6.0,1.0,0.0,6.727272727272727,33.0,0.6666666666666666,5.5,8.0,4.0,0.09090909090909091,0.0,,,,,,,8.191867917756243,38.09379615952733,0.5571245186136071,6.757626859424303,9.748782467532466,4.814814814814815,,,,,,,10.697610308571518,29.954683672738156,0.6293326640607506,10.324934094746528,10.345609799921633,11.89268815797521,-0.018257909253000998,0.23076923076923078,-0.004213363673769392,48.20814923907707
cf0ccafa,M Siddharth,cf0ccafa,IPL,2024,,,,,,,,,,,,,,,,,,bowl,3.0,71.0,54.0,1.0,62.0,48.0,9.0,6.0,0.0,0.0,2.0,3.0,7.888888888888889,54.0,0.3333333333333333,7.75,9.0,,0.2222222222222222,0.3333333333333333,,,,,,,9.606379645296736,62.335302806499264,0.27856225930680356,9.522110574643337,10.967380275974024,,,,,,,,10.882111838250712,33.11661932234319,0.5929984563250805,10.685518927166402,10.50455734015314,,-0.618308171028755,0.23076923076923078,-0.14268650100663585,15.961800818553886
