competition,role,metric,non_null,mean,median,std,min,q25,q75,max
IPL,bowl,bowl_pp_economy,1683,8.838926332096309,8.3125,3.237316647348818,0.0,6.846875,10.224014336917563,28.0
IPL,bowl,bowl_mid_economy,2081,8.563230483013346,8.0,2.8271397464569863,1.0,7.0,9.600000000000001,36.0
IPL,bowl,bowl_death_economy,1699,10.762091301696312,10.064516129032258,4.149474627628744,0.0,8.437391304347827,12.25,36.0
IPL,bowl,shrunk_economy,2199,10.919148802749094,10.963292511309557,0.4924600787680117,9.039282539594678,10.6310505791507,11.23926200173571,12.633666514078707
IPL,bowl,shrunk_bowling_sr,1809,28.662886322364766,27.921755347034157,4.090417556968732,21.305243287623668,26.48443374373497,29.695056213396533,80.29393830632412
IPL,bowl,shrunk_wickets_per_innings,2199,0.6636850274971129,0.6458409931695235,0.09392848933135423,0.4262176404836516,0.6096798913122116,0.7126959354031562,1.1298644174574166
SMA,bat,bat_innings,2797,3.7636753664640685,3.0,3.043528181040122,1.0,1.0,5.0,20.0
SMA,bat,runs,2797,66.02824454772971,31.0,90.25559140578167,0.0,7.0,89.0,767.0
SMA,bat,balls,2797,55.35073292813729,29.0,68.0469325594206,1.0,9.0,77.0,575.0
SMA,bat,strike_rate,2797,101.88569661781351,105.0,50.400739870338676,0.0,70.37037037037037,131.57894736842107,500.0
SMA,bat,runs_per_innings,2797,13.850329043922702,10.666666666666666,12.193626355051949,0.0,4.125,20.833333333333332,80.0
SMA,bat,boundary_pct,2797,11.623744345889902,11.76470588235294,9.89797507531263,0.0,3.0303030303030303,17.142857142857142,100.0
SMA,bat,bat_pp_sr,1434,95.36887646756739,100.0,52.0795909327835,0.0,64.39075630252101,125.0,400.0
SMA,bat,bat_mid_sr,2003,96.02150069224768,100.0,48.03408523394261,0.0,66.66666666666666,125.92592592592592,500.0
SMA,bat,bat_death_sr,2121,120.65235464853892,118.75,70.79145730462679,0.0,69.04761904761905,166.66666666666669,500.0
SMA,bat,shrunk_strike_rate,2797,108.66469977048183,108.19999204685733,5.7309233743251164,86.50183261140825,105.08800342163018,111.70523715866308,140.14329589336498
SMA,bat,shrunk_runs_per_innings,2797,11.593200158937778,11.011246240976371,1.638951625081678,8.14407744117571,10.675059760595513,12.107417236592358,22.556765297771392
SMA,bat,shrunk_boundary_pct,2797,12.592932672231331,12.389090222893383,1.104894443520555,8.877005457046215,12.011343852133074,13.133748814885047,18.372920368030375
SMA,bat,bowl_innings,0,,,,,,,
SMA,bat,runs_conceded,0,,,,,,,
SMA,bat,balls_bowled,0,,,,,,,
SMA,bat,wickets,0,,,,,,,
SMA,bat,economy,0,,,,,,,
SMA,bat,bowling_sr,0,,,,,,,
SMA,bat,wickets_per_innings,0,,,,,,,
SMA,bat,bowl_pp_economy,0,,,,,,,
SMA,bat,bowl_mid_economy,0,,,,,,,
SMA,bat,bowl_death_economy,0,,,,,,,
SMA,bat,shrunk_economy,0,,,,,,,
SMA,bat,shrunk_bowling_sr,0,,,,,,,
SMA,bat,shrunk_wickets_per_innings,0,,,,,,,
SMA,bowl,bat_innings,0,,,,,,,
SMA,bowl,runs,0,,,,,,,
SMA,bowl,balls,0,,,,,,,
SMA,bowl,strike_rate,0,,,,,,,
SMA,bowl,runs_per_innings,0,,,,,,,
SMA,bowl,boundary_pct,0,,,,,,,
SMA,bowl,bat_pp_sr,0,,,,,,,
SMA,bowl,bat_mid_sr,0,,,,,,,
SMA,bowl,bat_death_sr,0,,,,,,,
SMA,bowl,shrunk_strike_rate,0,,,,,,,
SMA,bowl,shrunk_runs_per_innings,0,,,,,,,
SMA,bowl,shrunk_boundary_pct,0,,,,,,,
SMA,bowl,bowl_innings,2037,4.063819342169857,3.0,3.268217961346205,1.0,2.0,5.0,20.0
SMA,bowl,runs_conceded,2037,93.19587628865979,71.0,80.69537269238003,0.0,31.0,127.0,521.0
SMA,bowl,balls_bowled,2037,75.78890525282277,54.0,68.91502679135212,0.0,24.0,107.0,444.0
SMA,bowl,wickets,2037,3.713794796269023,2.0,4.257318764948698,0.0,1.0,5.0,31.0
SMA,bowl,economy,2036,8.001843402235513,7.625307881773399,2.543191745872774,0.0,6.5,9.0,30.0
SMA,bowl,bowling_sr,1582,23.83959832370531,20.0,15.706218566001795,2.0,14.4,28.0,191.0
SMA,bowl,wickets_per_innings,2037,0.8082248135531168,0.75,0.6794734064852569,0.0,0.2857142857142857,1.125,4.5
SMA,bowl,bowl_pp_economy,1401,7.6044467261606945,7.199999999999999,3.0537803585379644,0.0,5.785714285714286,9.0,23.0
SMA,bowl,bowl_mid_economy,1834,7.634669310964186,7.142857142857142,2.919741324367215,0.0,6.0,9.0,30.0
SMA,bowl,bowl_death_economy,1429,9.351911933650142,9.0,4.076360074207587,0.0,6.8999999999999995,11.040000000000001,36.0
SMA,bowl,shrunk_economy,2036,10.790099901695662,10.84169884937426,0.42437891661608523,8.788625411223471,10.564286298736533,11.067178542702692,12.28574934382651
SMA,bowl,shrunk_bowling_sr,1582,28.729437960216575,28.01060020600281,3.8376808662610244,21.229864230377512,26.965814879800458,29.26989925259875,83.51909049737317
SMA,bowl,shrunk_wickets_per_innings,2037,0.6573727345182866,0.6379307521382365,0.08061170074099266,0.47030912053368457,0.6096798913122116,0.6959244568780761,1.0674691203241964
